,date,month,day,hour,min,disk,cpu_1,cpu_2,cpu_3,cpu_4,year,timestamp,time_diff,average
29,6,8,Tue,17,20,67.0,14.8,4.6,11.7,3.7,2019,2019-06-08 17:20:00,0 days 04:05:00,8.7
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 15:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 17:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 21:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 18:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 21:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 22:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 22:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 20:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 23:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-09 00:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-09 00:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-09 01:15:00,0 days 00:30:00,5.05
30,6,8,Tue,18,6,67.0,19.2,6.0,15.7,4.9,2019,2019-06-08 18:36:00,0 days 00:30:00,11.45
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 18:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 23:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 19:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 19:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 20:45:00,0 days 00:30:00,5.05
